O que compõe o 'Binômio' do Regime Jurídico Administrativo?,Supremacia do Interesse Público (Prerrogativas) e Indisponibilidade do Interesse Público (Sujeições/Deveres).
Qual a diferença de Legalidade entre o Particular e a Administração Pública?,Particular: pode fazer tudo que a lei não proíbe. Administração: só pode fazer o que a lei autoriza (Legalidade Estrita).
O Princípio da Impessoalidade veda o quê na publicidade de atos públicos?,"Nomes, símbolos ou imagens que caracterizem promoção pessoal de autoridades ou servidores públicos (Art. 37, §1º CF)."
Qual a diferença entre a Moralidade Administrativa e a Moral comum?,"A moralidade administrativa é jurídica e objetiva; exige não apenas a lei, mas a distinção entre o bem e o mal, o honesto e o desonesto."
O que estabelece o Princípio da Autotutela (Súmula 473 STF)?,A Administração pode ANULAR seus atos (quando ilegais) ou REVOGAR (por conveniência ou oportunidade).
Qual o efeito temporal da ANULAÇÃO e da REVOGAÇÃO de um ato?,Anulação: Ex Tunc (retroage). Revogação: Ex Nunc (não retroage).
O que veda o Princípio da Segurança Jurídica quanto a novas interpretações?,Veda a aplicação retroativa de nova interpretação administrativa sobre situações já consolidadas.
Quais os 3 subelementos do Princípio da Proporcionalidade?,1. Adequação (meio vs. fim); 2. Necessidade (meio menos gravoso); 3. Proporcionalidade em sentido estrito (vantagem vs. sacrifício).
O Princípio da Publicidade é absoluto?,Não. Exceções: Segurança da Sociedade/Estado ou proteção da Intimidade/Vida Privada.
O Princípio da Eficiência foi previsto originalmente na CF/88?,Não. Foi incluído pela Emenda Constitucional nº 19/98 (Reforma Administrativa).
A proibição do Nepotismo (SV 13) aplica-se a cargos políticos (ex: Secretários)?,"Em regra, não. Salvo em casos de nepotismo cruzado ou evidente falta de qualificação técnica/fraude à lei."
Qual a diferença fundamental entre Entidade e Órgão?,Entidades possuem personalidade jurídica própria; Órgãos são centros de competência despersonalizados integrantes de uma entidade.
O que caracteriza a Desconcentração Administrativa?,Divisão interna de competências dentro de uma única pessoa jurídica (criação de órgãos). Há hierarquia e subordinação.
O que caracteriza a Descentralização Administrativa?,"Transferência de atividades para outra pessoa jurídica (criação de entidades). Não há hierarquia, apenas vinculação/tutela."
Como se dá a criação de uma Autarquia?,Exige a edição de lei específica para sua criação (criação direta pela lei).
Como são criadas as Empresas Públicas (EP) e as Sociedades de Economia Mista (SEM)?,Dependem de autorização legislativa para que sejam instituídas.
Qual a natureza da prestação de contas da OAB ao TCU?,A OAB não possui obrigação de prestar contas ao TCU nem a qualquer outra entidade externa (RE 1.182.189).
O que define as Agências Reguladoras?,"São autarquias sob regime especial, criadas para exercer poder normativo de regulação por delegação legislativa."
Qual a composição do capital da Empresa Pública (EP)?,"Capital 100% público (União, Estados, Municípios ou outras entidades da Adm. Indireta)."
Qual a composição do capital da Sociedade de Economia Mista (SEM)?,"Capital misto (público e privado), com a maioria das ações com direito a voto pertencente ao ente público."
Qual a forma jurídica obrigatória para a Sociedade de Economia Mista (SEM)?,Deve ser constituída obrigatoriamente sob a forma de Sociedade Anônima (S.A.).
Quais as formas jurídicas admitidas para a Empresa Pública (EP)?,"Pode adotar qualquer forma jurídica admitida in direito (S.A., LTDA, etc.)."
Qual o foro competente para julgar Empresa Pública Federal?,"Justiça Federal (Art. 109, I, da Constituição Federal)."
Qual o foro competente para julgar Sociedade de Economia Mista Federal?,Justiça Estadual (conforme Súmula 517 do STF).
Qual a diferença na criação de Fundações de Direito Público e Direito Privado?,Direito Público: criadas diretamente por lei (autarquias); Direito Privado: autorizadas por lei.
É constitucional a criação de fundação pública de direito privado para saúde?,"Sim, o STF declarou constitucional o uso de fundações privadas para serviços de saúde (ADI 4197)."
O que estabelece a Teoria do Órgão (Teoria da Imputação)?,"A vontade do agente público é imputada diretamente à pessoa jurídica que ele apresenta (apresentação, não representação)."
O regime celetista pode incidir sobre Fundações Públicas de Direito Privado?,"Sim, o regime de pessoal dessas fundações é o celetista (CLT)."
Qual a capacidade processual da Câmara de Vereadores?,Possui apenas personalidade judiciária para defender seus direitos institucionais (Súmula 525 do STJ).
Quais as três características básicas das fundações (Carvalho Filho)?,1. Instituidor; 2. Fim social; 3. Ausência de fins lucrativos.
Existe hierarquia entre a Administração Direta e a Indireta?,"Não. Existe apenas controle finalístico, também chamado de Tutela ou Supervisão Ministerial."
Qual a diferença entre a função política (Governo) e a função administrativa?,Governo estabelece as diretrizes e metas (política); Administração executa os serviços e atividades (técnica).
O que é a Administração Pública em sentido FORMAL (ou Orgânico/Subjetivo)?,"É o conjunto de órgãos, agentes e pessoas jurídicas que exercem a função administrativa (o 'Quem')."
O que é a Administração Pública em sentido MATERIAL (ou Objetivo/Funcional)?,"É a própria atividade administrativa exercida (serviço público, fomento, polícia, intervenção)."
"No Brasil, qual sentido de Administração Pública é adotado para fins de lei?","O sentido Formal (ou Orgânico), pois a Administração é o que a lei define como tal."
O que é o Sistema de Jurisdição Única (Sistema Inglês) adotado no Brasil?,Significa que apenas o Poder Judiciário pode proferir decisões com força de coisa julgada e caráter definitivo.
"Em sentido material, quais são as 4 atividades fundamentais da Administração?",1. Serviço Público; 2. Polícia Administrativa; 3. Fomento (estímulo); 4. Intervenção.
Diferença entre Povo e Nação para o Direito Administrativo.,Povo é o elemento humano do Estado (vínculo jurídico); Nação é um conceito sociológico (vínculo cultural/histórico).
O Poder Judiciário exerce função administrativa?,"Sim, de forma atípica (ex: quando organiza concursos ou gere seus próprios servidores)."
O que é a Descentralização por Outorga (ou Técnica/Serviços)?,A lei cria a entidade e transfere a titularidade e a execução do serviço (ex: Autarquias).
O que é a Descentralização por Delegação (ou Colaboração)?,"O Estado transfere apenas a execução do serviço, via contrato ou ato unilateral (ex: Concessionárias)."
Órgãos públicos possuem personalidade jurídica própria?,"Não. São centros de competência despersonalizados, integrantes de uma pessoa jurídica."
Qual a regra para a Criação e Extinção de órgãos públicos na CF/88?,Dependem de lei em sentido estrito (Iniciativa privativa do Chefe do Executivo).
Pode um Decreto Autônomo criar ou extinguir órgãos públicos?,"Não. O decreto autônomo serve apenas para organização interna, desde que NÃO crie/extinga órgãos nem aumente despesa."
Órgãos públicos têm capacidade processual (podem estar em juízo)?,"Em regra, não. Exceção: órgãos independentes ou autônomos podem impetrar Mandado de Segurança para defender suas prerrogativas institucionais."
Qual a classificação da CF/88 quanto à estabilidade/alterabilidade?,Rígida (exige processo legislativo mais solene e dificultoso para alteração).
Diferença entre norma de eficácia contida e limitada.,"Contida: aplicabilidade imediata, mas restringível. Limitada: aplicabilidade mediata, depende de lei para agir."
O que é o Princípio da Unidade da Constituição?,"A Constituição deve ser interpretada como um sistema unitário, evitando contradições entre suas normas."
O que estabelece o Princípio da Concordância Prática (Harmonização)?,"Em caso de conflito entre bens jurídicos constitucionalizados, deve-se buscar o equilíbrio sem o sacrifício total de nenhum deles."
Existe fenômeno da inconstitucionalidade superveniente no Brasil?,"Não. Se uma lei anterior contraria a nova CF, ela é considerada REVOGADA (não recepcionada), e não inconstitucional."
Qual o mnemônico para os Fundamentos da RFB (Art. 1º)?,"SO-CI-DI-VA-PLU (Soberania, Cidadania, Dignidade, Valores do Trabalho, Pluralismo Político)."
Quais os verbos que iniciam os Objetivos Fundamentais (Art. 3º)?,"CON-GA-ER-PRO (Construir, Garantir, Erradicar/Reduzir, Promover)."
O que é o Princípio do Efeito Integrador na interpretação constitucional?,"Na resolução de problemas constitucionais, deve-se dar primazia a interpretações que favoreçam a integração social e a unidade política."
Normas programáticas pertencem a qual categoria de eficácia?,Eficácia Limitada (estabelecem programas/objetivos a serem cumpridos pelo Estado).
A CF/88 admite a Repristinação de normas no Brasil?,Apenas se houver disposição expressa. Não existe repristinação automática no sistema brasileiro.
Qual o foco dos direitos fundamentais de 1ª geração?,"Liberdades negativas (absenteísmo estatal), focando em direitos civis e políticos."
Qual o foco dos direitos fundamentais de 2ª geração?,"Direitos sociais, econômicos e culturais, exigindo prestações positivas do Estado (Igualdade)."
O que são os direitos fundamentais de 3ª geração?,"Direitos transindividuais (difusos e coletivos), baseados na solidariedade ou fraternidade."
Os direitos fundamentais são absolutos?,"Não. São relativos ou limitáveis, podendo sofrer restrições em caso de conflito com outros direitos (Princípio da Harmonização)."
